,hasilpreproses
463,Salah destinasi wisata pulau Madura . Merupakan pegunungan kapur ditambang warga . Panas iya . Tapi terbayar pemandangan indah
464,"Bukit kapur ditambang . Menyajikan keindahan bekas galian bagus , dalan tahap pengembangan"
465,panas penuh debu berbayar masuk akses ingini bagus sih pemandangannya instragamable banget ..
466,Tempat Bagus .. Saran pagi sore .. Karena panas ... ☀☀☀
467,"Msh kurangnya perawatan ..... Baik petunjuk arah , bagus spot foto ..."
468,"Sangat unik menarik dikunjungi . Namun sayang musim kemarau airnya menguning , biru kebanyakan foto beredar . Bila kesini hati-hati debu , lupa siapkan masker ."
469,Pas mendung kesini oke . Tapi panas wow ...
470,Tempat bagus hunting foto rekreasi keluarga
471,Bukit kapur diukir indah . Sayang berdebu ditambang kapurnya
472,"Bagus , renovasi . Mungkin bagus"
473,Bukit jaddih Bangkalan bukit kapur aktif . Jadi banya pekerja aktivitas penambangan . Sebagian spot bekas penambangan wahana wisat . Di kolam …
474,Perbukitan kapur olah wisata batu kapur
475,"Bukit Jaddih Madura , keren lokasinya berasa negeri , cocok suka berpetualang 😊👏👏 …"
476,"Tempat indah , sarankan berkunjung lupa bawa masker , angin kencang"
477,"Panas berdebu ... kesana baiknya siapkan masker , kacamata , topi payung ... mohon retribusi biaya masuk"
478,"Tempat bagus , cuman pungli . Tiket masuk 20rb .. Trus , eh ditarik uang parkir 20rb"
479,"Hanya pemandangan bukit kapur , selebihnya apa-apa disana , danau kering"
480,"Ketika pola kerukannya , nambangnya penuh perhitungan ."
481,"Lokasi wisata dikelola masyarakat , menimbulkan kesan amburadul . Tidak lokasi parkir memadai . Harga tiket relatif murah , 5rb/orang ."
482,"Belum terawat , pungli tiket masuk"
483,Tempat cocok rekreasi . Namun hati-hati berangkat berduaan . Karena begal
484,Spot Foto latar bukit kapur bekas galian tambang . Toilet gelap lampu . …
485,"Lahan luas ... cocok wisata Surabaya . Buat foto-foto prewedding , keluarga . Tiket parkir motor 10rb .dan tikect masuk 5000 perorangan . Disarankan bawa payung , kondisi sehat jalan² tanjakan …"
486,"Tempat wisatanya lumayan bagus , panas"
487,"Bagus sih nya😊 , berteduh Panas bgt🥵🥵 …"
488,Tempat tambang kapur . Bagus tempatnya . Sayangnya jalan lokasi habis hujan becek berlumpur . Sehingga berbahaya pengendara motor .
489,seindah sebagus 1-2 kondisi danau buatan mengenaskan
490,Keren pemandangannya sayangnya jalannya terbenahi
491,"Tempatnya menarik explore , hidden spot sepi banget wisatawan umunya ."
492,Wajib sun glasses & sun cream Selebihnya wow & indah
493,"Keren , bekas pertambangan dijadikan wisata"
494,Keren banget .. Unik ukiran batu kapur dibentuk rupa Cukup 35rb .. Video tonton dichannel youtube dianawek dian
495,Bagus rek .. kak bagusan sunset pagi
496,Banyak preman panas . Jadi nyaman berwisata .
497,"Danaunya kayak terawat , aksesnya bagus , lumayan sih foto-foto"
498,"Mestinya wisata pakai jeep suramadu bukit jaddih .. terbayang asyiknya sih sawah2 , jalan makadam muter2 bukit 😍😘 …"
499,"Tempat bagus , sayangkan Pungli Pungli , jalan masuk lokasi bagus Sangat harapkan dinas parawisata yamg berkaitan Tolong benahi ."
500,"Penambangan kapur dijadikan obyek wisata . Lebih tebing breksi , potensial . Masih dikembangkan"
501,Sangat bagus keren foto ..
502,"Tempatnya bagus , sayang panas menyengat ."
503,Bagus . Sangat potential dikembangkan . Akses jalan pengelolaan obyek wisata ditingkatkan
504,"Pemandanganya bagus , kesini mendingan sore . Supaya kena terik matahari panas"
505,Nice place n pintar cari spot foto kece .. 👍🏻 …
506,Bagus menyeramkan 😂 . Kalo berangkat cewek . Jalanan curam . Mending mobil kesini debunya bertebaran . Trus danaunya musim panas ijo biru . …
507,"Disini pemandangan indah , dikelilingi pegunungan kapur . Menjadi menarik"
508,"Nggak tau sih , menurutku sistem administrasi tertata , but lumayan"
509,Buat spot photo sih LG kemarau
510,Akibat keserakahan manusia bukit jaddih '' hilang
511,Panas . Dan mahal tiket . Masa disuruh bayar 2 kali . 2 orang 40rb . Tempat mengecewakan . Parahh
512,Tempat bagus tiket masuk 30 . Kalau keatas bertambah biaya
513,Ada perahu foto kolam renang
514,"Tempat wisatanya bagus eksotis , , , bagus wawasan perbukitan keras"
515,"Pilihan wisata bagus , preman . Dikit2 bayar ."
516,Tempatnya artistik .. bagus foto spot .. cuman panas ..
517,Tempat penggalian kapur dijadikan wisata
518,"Bukitnya buruk , lumayan foto-foto , hawanya panas"
519,Jng bagus viewnya swa berfoto
520,"Akses buruk , penunjuk arah masuk keuar . Karena membingungkan"
521,View bagus Tempatnya dingin sejuk
522,Perlu ditingkatkan dikembangkan atraktif menarik .
523,Bagus ... panasnya mintak ampunnnn😅gpp seru👍 …
524,Bagusss cumaa PUNGLINYA ITULOHH .... WAGELASEEEHH ! ! bikin kesana atur tur tur .. Jalan meter bayar ... jalan bayar ... Jalan bayar ... -.- '' ) sih menurutku .
525,Tempat keren banget .. Dri . Masuk pungutan biaya ...
526,"Kurangnya penunjuk jalan , lokasi berdebu goa pote lumayan dingin sejuk , lokasi berdebu area tambang batu kapur"
527,"Pertambangan kapur jadikan objek wisata , goa2 buatan , danau tebing2 kapur ."
528,Bukit jaddih destinasi menarik dikunjungi Madura . Bukit Jaddih destinasi tambang kapur memiliki pemandangan Instagramable . …
529,Danau bagus . Lebih bagus bukitnya . Viewnya mantap .
530,Bulan Agustus kesana .. Danaunya surut .. airnya penuh bagus
531,Lagi SDM penduduk sana😭 …
532,"Oct 2022 , seputih 2016 ."
533,Tempat nan indah sempurna berpose serasa dunia dongeng
534,"Banyak tukang parkir abal-abal biaya parkir bayar parkir , selebihnya bagus viewnya"
535,Pemandangannya 👍😎👍 …
536,"Melihat tambang kapur diubah obyek wisata . Pakai sunscreen alat pelindung , siang panas"
537,Kerennn tempatnya cocok bersantaii 👍 …
538,Setelah disuguhkan hamparan bukit kapur indah
539,Semua bagus .. Sayangnya toiletnya airnya kotor
540,recomend sayang pungli . ditindak tegass
541,"dasarnya bagus , perbaikan pengembangan"
542,"Bagus panas banget , restribusi , penunjuk arah"
543,"Tempat penambangan batu kapur , hati-hati pengunjung kendaraan roda 2 pergi berkelompok.mi"
544,Pas otw kesana hati-hati banget narikin uang . Terus diatas dimintain uang tiket masuk bayar . Hati2 guys
545,"Tempatnya bagus foto . Biayanya murah meriah , 10 ribu 2 orang plus motor ."
546,Bukit Yang Bagus Indah rugi rekreasi
547,Sepiiiiii apa-apa .. seru
548,Mungkin bagus kesana musim hujan
549,Bagus ... jalan lokasi memperbaiki ....
550,"Walaupun panas debu , suka .. kece banget 😍😍😍😍 …"
551,Panas siang ... Tapi pagi sore menyarankan sih
552,Sudah perbaiki Wisata
553,Tempatnya panas siap2 bawa payung . Terlalu retribusi menjengkelkan .
554,Bagus pungutan liar .
555,Keren suka foto-foto vibes mantap
556,Bukit kapur indah . Terdapat danau berwarna biru lembahnya . Bagus unutk wisata disekitar Madura jembatan Suramadu .
557,"Tempatnya asli , asli panas😅 Untuk masuk kesana kudu bayar 3x Pertama seikhlasnya …"
558,Tambang batu putih Madura daya tarik wisata
559,Bagus banget tempatnyaa . Cocok refreshing
560,"Panas , view foto spot keren"
561,Sukaaa banget panoramanya terima kasih bpak memfoto
562,"Bagus dikunjungi , teman-teman main kemadura"
563,Tempat asi ... pemandangan agus cocok suka adventure
564,Puanase poll ! Tapi keren banget pepotoan ! !
565,Ini indah petualangan Dan mengajak keluarga teman teman
566,Bagus spot foto . Tapi kesana disarankan Bangkalan Kota rombongan 2 orang 4 orang
567,Bukit panorama indah ..
568,"Puanas , persiapan bawa kacamata hitam biar silau"
569,"Tempatnya sih bagus tempatnya berdebu , lokasinya masuk jalan utama"
570,"Viewnya bagus , tata ..."
571,Wisata tambang batu kapur . Mungkin kelola fasilitas seadanya . Masuk gerbang dipungut Rp 20.000 . Sampai dipaksa bayar Rp 5000 karcis . Buat foto-foto bagus danau buatan goa goa
572,"Wisata alam memanfaatkan bekas pertambangan , cocok selfi , lokasinya makam mbah kholil"
573,"Saran kesini menjelang sore matahari redup . Mengingat tanahnya batu kapur , warnanya putih , silau banget mata . Sumpah . Kalian wajib pakai kacamata hitam biar mantap foto-fotonya . …"
574,Tidak direkomendasikan mengendarai sepeda motor medan batuan kapur berlumut menyebabkan sepeda motor tergelincir . Sedia sunscreen masker suhu udara panas berdebu akibat proses penambangan batuan kapur .
575,"Wisata eks penambangan batu ( kapur ) Waktu masuk lokasi wisata , pengunjung dikenakan bea masuk : …"
576,Tempatnya panas siang terbayarkan view indah ....
577,Tambang bukit kapur lumayan cantik ... Sayangnya kebanyakan menarik duit . Ga resmi .
578,libur tanggal merah rame banget .. akses enak arah terminal bangkalan
579,Tempatnya bagus foto foto unik
580,Minusnya terawat
581,"Tempatnya Bagus , pengelolaan pemerintahan , pemalakan liar ditemui"
582,"Tempatnya bagus ekspektasi , masuknya kemarin gratis sih pagi , enggak tau bayar ."
583,Sangat eksotis bagus
584,Sudah kali kesini view kalah diluar negeri kali bukit jeddih audah diperbaiki ramah wisata
585,viewnya bagus .... musti bawa kacamata hitam biar silau pantulan tebing
586,Semakin keren bukit kapur ujun barat pulau madura 👍👍 …
587,Bagus indah sayang dikelola obyek wisata
588,Bukan kali kesini ... Tp sudut terekspose ....
589,Spot foto bagus sayang pungli preman . Orang2 bersahabat .
590,Tempat bagus unt foto-foto ... panas .. menyenangkan
591,"Sekedar nostalgia Ini photo jaddih tenar , kesini lihat kayak iceland"
592,Bagus ambil spot bagus foto
593,Masuk lokasi kebanyakan tiket .......
594,Tempat bagus keren foto-foto ... intragamble ...
595,Tempat bagus pemandangan batu kapur unik . Recommended pecinta fotografi
596,"Tempat keren , keren akses jalannya bagus ."
597,"Suasana bagus , sistem karcis enak , olah pungli ..."
598,"Banyak pungli , pelayanan ramah , kesannya memalak , terawat ,"
599,"Keren , semoga maju , penataannya , keamanan kenyamanan pengunjung"
600,Indahnya .. Kata teman ajak . Tak ekspektasinya .
601,Wisata madura foto instagramable mueah . Ini foto jaddih 2
602,Waktu nyampai sore panas
603,Kurang terawat . Sistem tiket masuk buruk .
604,Kurang tertata ( semrawut ) pengalaman masuk bayar 2X .. Spot foto 😊 …
605,Salah pemandangan aan memajakan mata pengunjung
606,"Satu2nya bukit kapur berwarna putih bangakalan madura , mayoritas masyarakat tergolong ramah tamah"
607,Spot istimewa berfoto selfie
608,Siap pecahan 10rb .... pungli
609,"Pakai masker pakai helm pakai boot lupa kacamata kesini , sejam penambang kapur"
610,Tempatnya bagus berpotensi akses mudah .
611,Kapok kesana .... belok jalan aspal lokasi tarikan 10 ribu . Masuk lokasi tarikan 20 ribu . Terus masuk parkir foto foto tarikan 20 ribu . Pindah spot tarikan 20 ribu .... Bosan disana …
612,"Tempatnya bagus , pagi2 banget jam 7 kesini foto-foto berasa kayak gunung Es . Menuju siang cuaca panas , sarankan pakai sunblock/sunscreen , berasa …"
613,Kurang rekomendasi rekreasi keluarga Untuk foto-foto lumayan bagus 👍 …
614,"Mengecewakan , pungutan liar . Belok jalan aspal lokasi deh kena 10 ribu . Masuk lokasi kena 20 ribu . Masu area kena 20 ribu . Pindah mobil kena 20 ribu . Pindah mobil foto foto kena 20 ribu . Kapoooook kesana ... Pungutan liar tok ..."
615,Pas kemarau danaunya kering
616,Jangan kesini siamg ... Alamat foto²
617,wisata unik bagus
618,Bagus pungli
619,"Tempat asik , hati hati hujan , jalanan berbatu"
620,"Prospek bagus pariwisata , , dikembangkan .."
621,"Bagus sih view , banget bayar bayar"
622,"Tempat bagus , culture date kali hehe , cuman siang panas banget memicing mata"
623,Tempat wisata keren .. Tapi pos pembayaran tiket
624,"Tempat gersang usahakan bawa masker , danau warna ijo biruuu"
625,Nggak secantik
626,"Pemandangannya bagus . Tempatnya instagram-able . Tapi sayang pungli warga lokal . Pertama disuruh bayar kas kampung 10ribu , dalem bayar tiket masuk orang , parkir …"
627,"Baguss sih , hati hati , tarikan liar"
628,"Sebaiknya bawa kacamata hitam , mengurangi silau"
629,Mantap selfie n jalan-jalan murah meriah pulau madura
630,Pemandangannya bagus . Walaupun jalannya jelek .
631,Hmm .... panas ... lmayan bagus ..
632,"mantab , ,hanya wisata , ,mungkin 10 bukit bukit istimewa"
633,"Jalannya Jelek banget , bayarnya Masuk Mobil bayar mahal mobil 20rb , Elf/30rb , Bis tanggung/50rb , Bus besar/80rb , lokasi 5000/pengunjung"
634,"Sptnya semenarik awal-awal dibuka ditambah banyaknya pungutan resmi , minim sarpras penunjang , kurangnya petunjuk jalan wisata ditambah pandemi , menjadikannya sepi pengunjung . Kasihan orang-orang …"
635,harga tiket 5000 orang
636,Bekas tambang kapur obyek wisata
637,"Bukit Jaddih tujuan bersepeda bagus , pemandangannya bagus rintangan menggoda , , disarankan memakai sepeda BMX MTB , disarankan sepeda lipat jalanan . Bersepeda pagi biar kepanasan"
638,Tempat wisata Bangkalan terkenal ....
639,Kesana lokasi ujan eh lokasi hujan .. foto foto leluasa .
640,Untuk pemandangannya lumayan bagus . Seperti bukit-bukit dibelah . Sekilas grand canyon . Hehe . Tapi bukit kapur . Ada kolam renang . Ada danau airnya warna hijau . Di `` getek '' . …
641,Bagus foto-foto . Panas main
642,"Pemandangan bagus , akses terawat"
643,Good view papan petunjuk arah/tempat parkir minim
644,wisata unik menguras kantong
645,Rumayan bagus
646,Tempat wisata alam sangat-sangat bagus sayang dikelola terkait pemerintah dinas pariwisata daerah banyaknya pungli2 warga lokal terkordinasi kesannya …
647,"Tempat bagus , bagus foto-foto , sayang , pungli warga2 kecewa . Tiket masuk 20rb , karcis . Di memarkir mobil , didatangi orang , uang parkir 20rb , karcis …"
648,Pemandangan gunung kapur elok indah
649,Tempat lumayan . Tapi panas tukang palaknya
650,pemandangan bagus bukit jaddih
651,Salah wajib dikunjungi Madura
652,Wisata Bukit Jaddih Bangkalan penambangan batu kapur berfungsi lokasi . …
653,Lumayan . Potensial perbaikan wisata bagus .
654,"Jalan masuk lokasi terjal bebatuan , hati hati mobil/motor"
655,Tempat kondisi perjalanannya aman sejahtera khawatir kelangan . Hmm ~
656,"Pemandangan landscap bagus , dikembangkan kawasan pariwisata potensial Madura . Sayang akses jalan masuk memadai"
657,"Pengalaman kesana jalan berdebu gunung kapur . Pjalanan mnuju lokasi jalan bagus cocok mobil sedan , pakai APV . Dan suka pungli disana .. …"
658,Barusan siang kesana penasaran dibikin emosi punglinya masuk bayar karcis 10rb dilokasi goa putih menarik 10rb karcis
659,"Akses jalan raya utama , gang masuk aspal goyang dombr * t. View bagus alami , fasilitas . Dan murah . …"
660,Waaaah bagus . Recom banget laah JJ madura . Saran ujan kesana beceek
661,"Pemandangan bukit kapur menawan , cuman panas ..."
662,Semoga perhatiaan akses pelayanan
663,Bukit Jaddih menawarkan pemandangan berbeda bukit warna dominan putih . Kondisi bukit proses penataan pembangunan perlahan . Beberapa alat berat . HTM mobil 20.000 …
664,"Bagus pemandangan , dikeruk hilang keindahannya Silau"
665,Saat wisatanya ditutup rusak berat akibat kegiatan penambangan batu putih ( kapur ) masif .. jalan aksesnya rusak akibat repetisi beban roda² truk pengangkut batu ..
666,Wisata alam bagus ... sayang kesana airnya kering ...
667,"Tempatnya bagus instagramable banget , foto prewedd"
668,Lokasi tambang batu kapur bagus spot foto-foto . Tempat bersih rame .... Tiket masuk murah .
669,Bukit jaddih . Dua kali kesini 2012 . Yang 2019 . Banyak berubah utama bentuk garukan tambang . Tapi suka . Saya kasih rating 5 . Karena bagus banget foto . Tapi …
670,Tempatnya bagus ...... sayang bayarnya mahal
671,"kotor , fasilitas , maling ketahuan"
672,"Kereeen , pintar pintar cari spot foto , keren , jalan kesana bagus , lewati . Terus kali bayar , wajar . Semoga kembangkan pelihara"
673,Jaddih - Riwayatmu - Dari Bukit indah Hari kawasan menurutku layak Tempat Wisata . …
674,Lokasi bagus anak-anak .. tebing
675,Pegunungan kapur luas . Masih aktif kegiatan penambangan . Untuk lokasi disarankan rombongan pengendara kendaraan roda pengawalan …
676,"positif : bukit kapur buatan indah kolam renang , perahu berkuda . desain arsiteknya menarik . cocok wisata keluarga . perhatikan . aktifitas penambangan batu kapur kendaraan …"
677,"Tidak petunjuk arah objek wisata Bagi orang kali situ bingung , mengandalkan GPS"
678,indah .. ramai terawat fasilitas
679,Ini mah asli keren parah view
680,"Wisata alami , pemandangan berbeda dibanding"
681,Bagus Sekali Viewnya ..
682,"Tidak tertata , petunjuk masuk , tiket mahal , fasilitas berfungsi , truck pasir"
683,Tempat Wisata Hampir wisata Pantai Pandawa Bali ! 🤩 …
684,Bukit kapur tahap pemahatan perluasan tambang ... harap hati-hati kendaraan lokasi .. masil koordinir wisata .. masuk 3x pembayaran ... …
685,Serasa bukit manaaa . Hehe RT Padahal madura .
686,"Bagus ... , mendebarkan .... Tidak pagar pengaman pengunjung ..."
687,Bukit Jaddih bukit kapur penambangan aktif . Sepertinya dikelola resmi Dinas Pariwisata . Jadi pungli . Dan keamanan terjamin . Jatuhnya mahal …
688,"Bagus suka , ases jl diperbaiki"
689,"Tempatnya bagus , panas banget lama-lama , hehhe"
690,Sensasi tambang bukit kapur eksotis
691,"Indah panas , bayar parkirnya"
692,"Bukit Jaddih bukit kapur aktif penambangan kapurnya , terletak madura , desa Jaddih Bangkalan . Wisata dikelola . …"
693,"Pemandangannya bagus lahan luas kolam renang , danau , . Gua masuk danau , kolam renang bayar jalan masuk bayar . Menurut pungli karcisnya stempel , lambang , …"
694,Tiket masuk kendaraan roda 10000 roda 25000 Tiket masuk kolam renang kendaraan roda 2 ( airnya bersih ) 25000 roda 4 40000+ …
695,Bayar 10 ribu masuk
696,bagus berwisata
697,"Musim kemarau sepi , view danau terrible"
698,"Wisata alam grand canyon Indonesia . Tersedia parkir , cafe , warung , kolam renang , kamar mandi .. Namun sayang dibangun mushola , lenggang tikar seadanya numpang lapak . Pengunjung …"
699,"Bagus dikit dikit bayar belok kiri bayar belok kanan bayar masuk bayar masuk bayar , total habis 60k"
700,"- Banyak Pungli , uang - Tempat wisatanya danaunya , luas , sesuai ekspektasi …"
701,Semakin bagus ... Hanya sayang pengelolaan retribusinya ...
702,"Tempat wisata seru , spot selfie , fasilitas makanan , souvenir , wisata air perahu dayung . Sayang fasilitas toilet memadai , biaya pendatang . Mulai …"
703,"Tempatnya pemandangannya bagus , kunjungannya menyenagkan . Ada danau indah"
704,"Panas debu , lupa bawa topi kacamata , pakai masker menghirup debu . Merupakan penambangan bukit kapur aktif . Bahkan liburpun kendaraan pekerja tambang …"
705,"Pemandangan bukit Jaddih sungguh . Bukit kapur ditambang , digali dibuka , menciptakan lansekap buatan indah . Ada bukit menampak memiliki pintu jendela . Ada ruang terbuka memiliki kolam . Ruang …"
706,Suka . Tmptnya indah . Kl kesini lupa pakai msker . Karena kgiatan berdebu .
707,"Post : 24 Juli 2020 Tempatnya sih bagus adem sunyi tenang , spot fotonya kece . Tapi bayarnya dimana² masuk ditarik 10rb turun danau pote 1orang 5rb …"
708,"Pertama kali kesini , musim kemarau , tempatnya kering air . Saran semoga pengelola menambah sampah wisata , sampah berserakan mengurangi …"
709,Terbaik Lokasi nyaman Pelayanan ramah
710,"Akses masuknya sempit , tambang batu kapur aktif , jalan berdebu tebal .. Papan petunjuk lokasi resmi pemda , lokasi bagus , kolam renang sewa .. Buat selfie banget , warung warung kopi snack/buah lumayan .."
711,"Lumayan , pemandangannya bagus . Tapi hati-hati , sepeda motor kecuali grup . Sangat aman , siang . Bisa wilayah dikuasai preman , …"
712,Panas gaes .. Bawa kacamata Topi .. Yg perawatan pakai sunblock biar kaget .. …
713,"Akses jalan lebar , 2 mobil mepet . Kalo lokasi ngebul debu batu gamping . Terakhir 15 Juli 2018 renovasi memperindah kawasan wisata melengkapi fasilitas dibutuhkan lahan parkir warung jajanan ."
714,"Tempatnya keren , cocok hunting , cuaca cerah , pantulan cahaya matahari memantul bukit kapurnya ambil gambar dimanapun oke . Perlu bawa pelindung matahari cuaca terik panas …"
715,Nice place harga murah . Hati2 debunya
716,Ya .. Soso .. Panas berdebu . Yg bawa mobil siap2 nyuciin
717,Wisata alam mengisi liburan
718,"Tempatnya keren , spot foto"
719,"Perbukitan kapur eksotis👍tapi sayang dukung istirahat nyaman , tenda '' nyaman , warung '' kakilima , restribusi lumayan lancar , masuk kepala Rp 5000 , parkir Rp 20.000 . Semoga ditingkatkan kondisi …"
720,"Bukit jaddih terletak jembatan Suramadu , berjarak 16 . Jadi jauh-jauh daerah merasakan sensasi jembatan suramadu , alangkah ruginya mampir bukit Jaddih . …"
721,"Mengesankan , bagus dibanding tebing breksi Yogjakarta . Dana dikeluarkan , : 1 . Ketika melewati jalan tujuan , kotak sumbangan sukarela . Beri …"
722,"Bukan pahatan kapur , bukit bukit hijau indah disekitar . Ditengah bongkahan kapur danau nama aeng goweh pote . Mata air muncul …"
723,"Tempat bersih menarik , sayangnya kebanyakan pungutan masuk , masuk lokasi dikenakan 20rb kendaraan , masuk parkir tarik pungutan 5rb orang , ber 4 total biaya masuk 40rb"
724,"Bukit terbentuk aktifitas penambangan kapur bukit kapur puluhan , terbentuklah panorama mempesona . Penambangan , …"
725,"Tempatnya panas banget siang , kesini mending sore"
726,"Panas sih , pemandanannya epic ."
727,"Eksotis , wisata anti mainstream . Kebersihan ditingkatkan . Tdk rekom mobil jenis sedan kesini medannya bergelombang"
728,Tempat instagrammable . Minusnya jalur lokasi pungutan ( unofficial ) . Potensi berkembang .
729,"Buat foto-foto oke sih .. sayang , sampah disana . Di titik sampah2 berserakan , mengurangi keindahan . Udaranya panas angin semilir . Parkirnya 20k . Tiket masuk orang 5k ."
730,"Tempat wisata bagus , mata air . Semoga dikelola jalan akses wisata diperbaiki . Untuk fasilitas perahu sampan , kolam renang . Dan semoga wisata balon udara kayak …"
731,Wisata jembatan suromadu
732,"Wisata bukit jaddih socah madura , pemandangan bukit kapurnya indah , berwisata kesini menyediakan topi payung memakai sepatu , berjalan kaki jalan turun . Kiranya pemerintah …"
733,"Tempatnya bagus , akses kesana jalannya diperbaiki"
734,"Pemandangan sunset bagus , foto foto keren kayak salju salju , sore turun , perjalanan Medan sepi , meminimalisir resiko apapun turun magrib ."
735,Tempat sulit dijangkau lokasinya jalan utama . Spot foto gunung kapur dikeruk berlubang membentuk goa eksotis . …
736,Tempat bagus foto
737,Panas n airnya keruh
738,View bagus panas bukit kapur .
739,Tidak sesuai ekspetasi Wisatanya
740,"Dari jembatan suramadu krg 30menit sampai.di 2020 pergi kesini . Dan danau kering musim hujan , masuk wisata dipalak 3x ( pungutan …"
741,Bagusss
742,"Cuaca panas banget n berdebu , bukit bukit kapur dikelola salah perusahaan , proses pengambilan berbentuk kotak bukit terpotong terkotak2 , kendaraan dibawa keatas …"
743,"Panas , bawa payung masker ..."
744,"Aksesnya , mencapai puncak tebingnya . Belum pengaman sisi jalan . Saya sarankan membawa payung topi siang panas . Jangan lupa pakai sunblock/sunscreen 😊 …"
745,"Airnya hijau lumut , biru . Bnyk banget punglinya . Sampai tujuan bayar pungli 3 kali . Dan danau kotor sampah ."
746,Katanya panas
747,"Kerennnn , panas siang"
748,Di Bukit jaddih panas pakai sun block gaes ...
749,"Bukit penambangan kapur , spot foto bagus foto instagram cocok ajak keluarga . Ada Goa Pote kolam pemandian dibekas penambangan kapur . Masuk lokasi pungli sesuai …"
750,"Sebenarnya bintang . Tempat wisata tertata , tumpukan2 sampah . Itu penambangan tanah putih , mobil2 pengeruk tanah truk . Parahnya , preman pemungut tiket liar ( tiket …"
751,"pengalaman pemandangan bagus disarankan musim panas , peralihan musim hujan , juni desember , rumput rumput menguning pemandangannya kalah bukit …"
752,Manusia mencari uang ulet
753,Sangat potensial butuh perawatan arena permainan
754,"Salah wisata alam Madura wajib dikunjungin , tempatnya keren . Tetapi sayangnya pungli , semoga kedepannya pungli aman …"
755,"Jalan banget ( 1 mobil ) . Untuk lokasi , 3 kali bayar uang masuk ( 20rb sih ) . …"
756,Bagus foto puaanass banget .
757,Tempat bagus Tp sayang bayar trs😌 …
758,Jalur gowes terdekat surabaya
759,Bagus pemalak berkarcis
760,Bagus alami ... sayang pungli
761,Pos 1 bayar seikhlasnya bilangnya buka jalan ( pungli ) Pos 2 bayar 5ribu orang ( tiket ) Pemandangan bagus tata kelolanya . Ada danau seluas …
762,proses . semoga selesai bagus
763,"Pengen terkenal pungli begal banget , pengin eksplor tempatnya ramah kejahatan .. Pasti destinasinya akam rame , rame enak banyal penghasilan bertambahnya tenaga kerja tukang parkir dsb"
764,bagus sih cuman sayang airnya warnanya ijo wkwk beda foto-foto digugel biru . sampah ... semoga kedepannya memperhatikan kebersihan pengelola pengunjung
765,"Bukit Kapur Jaddih , Wisata Bangkalan Madura Bagus Buat Hunting Foto Travel Destinations4.9K …"
766,"Spot foto lumayan bagus , saran kesana bagus pagi sore siang cuaca panas"
767,"Lebih baiknya Pergi sore /pagi , Siang panas banget Dan berdebu , Tapi lumayan pemandangannya , mantap"
768,"Mudah ditemukan , pakai Google map ketemu tempatnya . Krn kesana sore indak panas musim kemarau , kering indak danaunya . Lumayan bagus tempatnya , suka ndaki . Batu kapurnya lumayan eksotis , matahari terbenam , siluet menawan . Hanya sayangnya , jalan kelokasi bagus ."
769,"Sebenar bagus wisata keluarga wisatawan kota , , cuman sentuhan , tata kelola pengelolaan , , terkesan terurus .. Kayak wisata bukit jeddih studi banding stigi kawasan …"
770,"Jalan bukit lumayan , sempit , musim panas rekomend panas debu dalem goa lumayan dingin , harga tiket masuk danau goa'pote Rp5.000 perorang , pemandangan unik instagramable , danaunya kering . Mantap bagus"
771,"Tempat rekreasi keluarga menawarkan pemandangan bukit , pindah bayar beda wilayah .. …"
772,Lokasi lumanyan masuk jalan desan 2 mobil . Udara panas berdebu daerah perbukitan penambangan batu kapur aktif . Saran / pulang …
773,"Wew ... Baru masuk jalan kampun Pungli , masuk pos parkir ditarik Pungli , masuk portal Pungli . Belom ketempat ketemu pria berkuncir duit . …"
774,Ini penambangan gunung kapur aktif . Sama warga du bentuk rupa obyek wisata . Tiket masuk mahal . Tiket Motor 10rb Mobil 20rb Bus 80rb . Belum …
775,suka beda ? langsung merapat kesini keren .
776,"Nice Place , sayang pungli"
777,pagi sore biar panas
778,Wisata bukit Jaddhih wisata unik . Dikatakan pegunungan . Kita menikmati pemandangan dati gunung gamping …
779,Tidak pemandangan hijau kapur putih . Terlalu panas terik matahari menyengat . Mungkin sorean nyaman . Tidak biaya charge masuk . Saran ku mending Bukit Arosbaya
780,Tempat wisata cantik danau gua batu kapur buatan manusia sisa proyek penambangan batu kapur . Perjalanan lokasi ekstrim butuh skil berkendara . Tempatnya bagus foto-foto . Harga tiket masuk 20ribu permobil 5ribu perorang .
781,"Banyak tarikan soob alias pungli ... Siapin duit . jalan masuk desa tarikan . pos jalan masuk tambang tarikan , pos masuk aprkiran tarikan .... seindah sebersih foto-foto …"
782,Tempatnya recomended pesona keindahan tebing kapur waduk biru toska
783,Tempatnya bagus perapihan
784,"Lumayan swa foto .. kelola ? Kok pungutan liar ? Msk uang , masuk uang karcis .. parkir mbl uang muka-muka preman jls ks maksa olah2 telan orang tampang2 nya.cb kelola .. sedia wc"
785,bukit jaddih halnya padang pasir .. hahahah
786,"Tempat bagus , Masalahnya 3 lapis pungutan karcis . Yg 1 karcis …"
787,KEREN foto-foto
788,Karena masuk lokasi bayak preman deh memasukkan kas desa pp pintu masuk tarik uang 40 ribu .. parkiran orang suruh bayar 5 ribu .. masuk kawah tarik uang perorang 5 ribu .. suka kecewa ! ! ! ! ! ! ! !
789,"Unik bagus , serba putih perbukitan kapur . Udah berkembang pariwisata , dibangun , fasilitasnya , ditambang kapurnya . Boleh deh liburan , jalan bagus pungli hehe✌"
